ds,yhat,yhat_lower,yhat_upper
1970-01-01 00:00:00.000043831,129354.22499999999,-48185.35499254438,307702.7361655861
1970-01-01 00:00:00.000043832,129564.64407534245,-43174.98674433978,306647.6358770005
1970-01-01 00:00:00.000043833,129775.06315068493,-44218.34642047458,304362.3274068103
1970-01-01 00:00:00.000043834,129985.4822260274,-59932.51642828518,310099.30399857886
1970-01-01 00:00:00.000043835,130195.90130136986,-41965.24770923927,312532.28414236754
1970-01-01 00:00:00.000043836,130406.32037671233,-38900.62663249104,315982.59664265485
1970-01-01 00:00:00.000043837,130616.7394520548,-45812.73496666276,310272.64503125136
1970-01-01 00:00:00.000043838,130827.15852739725,-41052.809246116456,299626.6243435154
1970-01-01 00:00:00.000043839,131037.57760273971,-53063.01860596239,302904.24136031035
1970-01-01 00:00:00.000043840,131247.99667808219,-52035.70362796811,300573.5538023557
1970-01-01 00:00:00.000043841,131458.41575342463,-39598.69100506135,302897.7031290688
1970-01-01 00:00:00.000043842,131668.8348287671,-46703.522157189924,330936.8349866076
1970-01-01 00:00:00.000043843,131879.2539041096,-46609.92148265819,320690.78702575463
1970-01-01 00:00:00.000043844,132089.67297945204,-58241.107222581784,293801.61344173923
1970-01-01 00:00:00.000043845,132300.0920547945,-43555.51903353582,325108.21917420917
1970-01-01 00:00:00.000043846,132510.511130137,-57488.84137326595,313214.40476088104
1970-01-01 00:00:00.000043847,132720.93020547944,-44166.09525075706,317912.06602410687
1970-01-01 00:00:00.000043848,132931.34928082192,-37609.70249905673,305473.8224547065
1970-01-01 00:00:00.000043849,133141.7683561644,-32802.84506843248,310973.8979862277
1970-01-01 00:00:00.000043850,133352.18743150684,-37529.5245450176,310917.8941226793
1970-01-01 00:00:00.000043851,133562.6065068493,-43504.23223763522,307215.29316201824
1970-01-01 00:00:00.000043852,133773.02558219177,-48205.06954341907,316994.8001426382
1970-01-01 00:00:00.000043853,133983.44465753424,-52968.77086976954,325149.5925209102
1970-01-01 00:00:00.000043854,134193.8637328767,-64258.49409012221,317133.7964880276
1970-01-01 00:00:00.000043855,134404.28280821917,-50402.20451408425,307032.98904021294
1970-01-01 00:00:00.000043856,134614.70188356165,-42142.31006362504,309884.28629800625
1970-01-01 00:00:00.000043857,134825.1209589041,-44452.72227383886,314106.795223853
1970-01-01 00:00:00.000043858,135035.54003424657,-46307.99746667347,311767.4199303389
1970-01-01 00:00:00.000043859,135245.95910958905,-44940.88076631789,332373.42992684885
1970-01-01 00:00:00.000043860,135456.3781849315,-40424.066123829965,309304.5620767301
1970-01-01 00:00:00.000043861,135666.79726027398,-27258.34170505411,325278.7956818608
1970-01-01 00:00:00.000043862,135877.21633561642,-32254.82206007134,318938.9141568479
1970-01-01 00:00:00.000043863,136087.63541095887,-59151.6748372519,320996.5171398771
1970-01-01 00:00:00.000043864,136298.05448630135,-47191.38165507793,314283.99439488386
1970-01-01 00:00:00.000043865,136508.47356164383,-43502.22759673653,320635.2036850374
1970-01-01 00:00:00.000043866,136718.89263698627,-46881.53124664443,327986.7317550278
1970-01-01 00:00:00.000043867,136929.31171232875,-46079.990042356534,313590.5023119476
1970-01-01 00:00:00.000043868,137139.73078767123,-37876.6540677279,317286.2413602569
1970-01-01 00:00:00.000043869,137350.14986301368,-44940.83157717801,315684.5062243494
1970-01-01 00:00:00.000043870,137560.56893835615,-46447.21998564159,330653.8284323695
1970-01-01 00:00:00.000043871,137770.98801369863,-47699.33557125579,313096.9920636689
1970-01-01 00:00:00.000043872,137981.40708904108,-33831.766322537966,310889.01951045083
1970-01-01 00:00:00.000043873,138191.82616438356,-44167.76114139365,320717.084104249
1970-01-01 00:00:00.000043874,138402.24523972603,-40354.561675795994,314798.1933277184
1970-01-01 00:00:00.000043875,138612.66431506848,-31787.08092723192,311361.8832777014
1970-01-01 00:00:00.000043876,138823.08339041093,-45116.07806863905,322952.53727618145
1970-01-01 00:00:00.000043877,139033.5024657534,-44929.68812047408,323998.1756291082
1970-01-01 00:00:00.000043878,139243.9215410959,-37408.2380479728,326712.63966221205
1970-01-01 00:00:00.000043879,139454.34061643833,-40871.10770436617,315961.6899861397
1970-01-01 00:00:00.000043880,139664.7596917808,-45543.26641829598,311664.8569840084
1970-01-01 00:00:00.000043881,139875.1787671233,-44318.44715049165,318933.7757361547
1970-01-01 00:00:00.000043882,140085.59784246574,-35040.898999298726,327610.7733262722
1970-01-01 00:00:00.000043883,140296.0169178082,-39210.593427525535,310039.0592992125
1970-01-01 00:00:00.000043884,140506.4359931507,-48339.87193815842,313878.3686822224
1970-01-01 00:00:00.000043885,140716.85506849314,-38853.47845952284,302831.467314926
1970-01-01 00:00:00.000043886,140927.27414383562,-33477.954402257914,326103.47544093325
1970-01-01 00:00:00.000043887,141137.6932191781,-36590.180112153,320243.3966104569
1970-01-01 00:00:00.000043888,141348.1122945205,-37600.03984550226,311885.3056910251
1970-01-01 00:00:00.000043889,141558.531369863,-50610.69804236463,317887.84188141115
1970-01-01 00:00:00.000043891,141979.36952054792,-40334.72597857866,331338.6925028661
1970-01-01 00:00:00.000043892,142189.7885958904,-46993.34488737205,337126.77227828593
1970-01-01 00:00:00.000043893,142400.20767123287,-34952.25297946313,324232.4307153773
1970-01-01 00:00:00.000043894,142610.62674657532,-40715.40841675202,313727.8049003861
1970-01-01 00:00:00.000043895,142821.0458219178,-38407.5435832939,308349.855818181
1970-01-01 00:00:00.000043896,143031.46489726027,-41025.483500877024,318549.5064307788
1970-01-01 00:00:00.000043897,143241.88397260272,-42102.7245199834,318314.19010493683
1970-01-01 00:00:00.000043898,143452.3030479452,-39891.515018820435,319782.87703785783
1970-01-01 00:00:00.000043899,143662.72212328768,-19577.473952154094,324125.00075581664
1970-01-01 00:00:00.000043900,143873.14098548857,-38390.89408099779,317410.52241211606
1970-01-01 00:00:00.000043901,144083.55984768947,-20976.400723513063,316935.93729290925
1970-01-01 00:00:00.000043902,144293.97870989036,-48058.917906310395,324138.0583569651
1970-01-01 00:00:00.000043903,144504.39757209123,-40749.403912186295,324395.54032727284
1970-01-01 00:00:00.000043904,144714.81643429212,-27748.91900356944,330785.8282802996
1970-01-01 00:00:00.000043905,144925.23529649302,-34441.34504555164,303482.170379238
1970-01-01 00:00:00.000043906,145135.6541586939,-22382.78425574512,327600.72799596796
1970-01-01 00:00:00.000043907,145346.0730208948,-27958.073431667264,337277.3100031871
1970-01-01 00:00:00.000043908,145556.4918830957,-33139.15548457667,326250.83201153233
1970-01-01 00:00:00.000043909,145766.91074529657,-38101.9076534793,332625.9798909635
1970-01-01 00:00:00.000043910,145977.32960749746,-32841.662961397786,318236.9120232681
1970-01-01 00:00:00.000043911,146187.74846969836,-37650.302818127646,316876.49478460004
1970-01-01 00:00:00.000043912,146398.16733189925,-29239.132767596726,335299.86663375515
1970-01-01 00:00:00.000043913,146608.58619410015,-32817.70975866098,310823.1432160132
1970-01-01 00:00:00.000043914,146819.00505630102,-21820.96628696287,326281.8931294283
1970-01-01 00:00:00.000043915,147029.4239185019,-23109.004198217048,332041.095224437
1970-01-01 00:00:00.000043916,147239.8427807028,-34621.16897109734,332865.9260061404
1970-01-01 00:00:00.000043917,147450.2616429037,-39018.63172100619,318996.8597258348
1970-01-01 00:00:00.000043918,147660.6805051046,-33216.607974338396,338803.72270771314
1970-01-01 00:00:00.000043919,147871.0993673055,-34572.78660612966,323756.00820416113
1970-01-01 00:00:00.000043920,148081.51822950636,-24727.841642585183,325713.7826422499
1970-01-01 00:00:00.000043921,148291.93709170725,-28966.083013964017,317817.2646324329
1970-01-01 00:00:00.000043922,148502.35595390815,-29959.467603820372,324040.3570061423
1970-01-01 00:00:00.000043923,148712.77481610904,-30557.9584394743,321293.87632134726
1970-01-01 00:00:00.000043924,148923.19367830994,-24165.06299440322,323391.4522064743
1970-01-01 00:00:00.000043925,149133.61254051083,-29528.295837690202,315954.32799988205
1970-01-01 00:00:00.000043926,149344.0314027117,-36347.31208484201,322801.9998213319
1970-01-01 00:00:00.000043927,149554.4502649126,-26179.046600551093,332700.8186562771
1970-01-01 00:00:00.000043928,149764.8691271135,-31270.590756951566,328627.807734159
1970-01-01 00:00:00.000043929,149975.28798931438,-28025.24639020947,334650.34674501687
1970-01-01 00:00:00.000043930,150185.70685151528,-26477.847956183046,329699.77782283054
1970-01-01 00:00:00.000043931,150396.12571371614,-38367.70884769338,334854.70347971685
1970-01-01 00:00:00.000043932,150606.54457591704,-28796.865554556116,333939.07519802445
1970-01-01 00:00:00.000043933,150816.96343811793,-16328.255947900074,326656.4773569615
1970-01-01 00:00:00.000043934,151027.38230031883,-38566.50262792452,336428.46310118557
1970-01-01 00:00:00.000043935,151237.80116251973,-30939.071341171588,329736.5284476935
1970-01-01 00:00:00.000043936,151448.2200247206,-15278.476017263767,326051.7098669578
1970-01-01 00:00:00.000043937,151658.6388869215,-38966.573527613466,326764.6133016651
1970-01-01 00:00:00.000043938,151869.05774912238,-35520.4499653479,334143.8703450322
1970-01-01 00:00:00.000043939,152079.47661132328,-15554.853150148856,323692.16320501233
1970-01-01 00:00:00.000043940,152289.89547352417,-23024.309510675434,333838.81023144344
1970-01-01 00:00:00.000043941,152500.31433572507,-33639.85354259442,351999.00688450393
1970-01-01 00:00:00.000043942,152710.73319792596,-21694.820608932492,331789.9501803854
1970-01-01 00:00:00.000043943,152921.15206012683,-32012.67955653015,324906.51438551117
1970-01-01 00:00:00.000043944,153131.57092232772,-34408.18523490451,318461.276702635
1970-01-01 00:00:00.000043945,153341.98978452862,-24155.454742651564,332452.768580807
1970-01-01 00:00:00.000043946,153552.4086467295,-34577.71926018649,318315.5627657157
1970-01-01 00:00:00.000043947,153762.8275089304,-23027.295459976758,344350.2984404048
1970-01-01 00:00:00.000043948,153973.2463711313,-13427.43135560984,335316.1117526897
1970-01-01 00:00:00.000043949,154183.6652333322,-37604.759964304765,336012.1622298163
1970-01-01 00:00:00.000043950,154394.0840955331,-20837.719111541726,331561.94303699053
1970-01-01 00:00:00.000043951,154604.502957734,-11625.548556335716,325544.13557798124
1970-01-01 00:00:00.000043952,154814.92181993485,-19852.856888454528,334360.3505598861
1970-01-01 00:00:00.000043953,155025.34068213575,-30421.647951248964,327781.10122011293
1970-01-01 00:00:00.000043954,155235.75954433664,-26024.9714589954,324990.28873035806
1970-01-01 00:00:00.000043955,155446.17840653754,-23128.972695788347,332839.66621096904
1970-01-01 00:00:00.000043956,155656.59726873843,-16332.754552288365,342343.7608130404
1970-01-01 00:00:00.000043957,155867.01613093933,-35165.242540843465,334197.10904631653
1970-01-01 00:00:00.000043958,156077.43499314022,-29341.295078904117,345160.23952143657
1970-01-01 00:00:00.000043959,156287.85385534112,-24891.237981100043,328528.40402644634
1970-01-01 00:00:00.000043960,156498.272717542,-18545.362803309967,329895.3201406586
1970-01-01 00:00:00.000043961,156708.69157974288,-22895.745062146354,328501.47732788045
1970-01-01 00:00:00.000043962,156919.11044194378,-15970.468387263212,332745.8976548846
1970-01-01 00:00:00.000043963,157129.52930414467,-32305.451604420352,328557.9886291803
1970-01-01 00:00:00.000043964,157339.94816634557,-26585.063844778382,324269.69214172516
1970-01-01 00:00:00.000043965,157550.36702854643,-21900.530265186106,339546.03880216717
1970-01-01 00:00:00.000043966,157760.78589074733,-21604.50002511481,323656.1551074378
1970-01-01 00:00:00.000043967,157971.20475294822,-13617.563415274944,338522.1190081978
1970-01-01 00:00:00.000043968,158181.62361514912,-12355.299873961296,335966.8202151206
1970-01-01 00:00:00.000043969,158392.04247735,-23237.37424711204,340555.27906831494
1970-01-01 00:00:00.000043970,158602.46133955088,-13193.909252537422,326307.4972666934
1970-01-01 00:00:00.000043971,158812.8802017518,-9623.782889967617,334845.22831737756
1970-01-01 00:00:00.000043972,159023.29906395267,-18900.708848489332,342830.2666155564
1970-01-01 00:00:00.000043973,159233.71792615356,-13862.109162117455,346853.8767406833
1970-01-01 00:00:00.000043974,159444.13678835446,-26062.01235732488,321160.87889046135
1970-01-01 00:00:00.000043975,159654.55565055535,-12992.80182499158,339829.961750506
1970-01-01 00:00:00.000043976,159864.97451275625,-20140.357627444962,339165.81408463174
1970-01-01 00:00:00.000043977,160075.39337495712,-25504.09186425792,340732.5341706601
1970-01-01 00:00:00.000043978,160285.812237158,-11295.747297265481,338499.2051021159
1970-01-01 00:00:00.000043979,160496.2310993589,-10989.32615116133,344905.4720715545
1970-01-01 00:00:00.000043980,160706.6499615598,-6318.868037473079,334939.4226353756
1970-01-01 00:00:00.000043981,160917.0688237607,-21851.645429334574,346506.52795806696
1970-01-01 00:00:00.000043982,160726.19186404377,-477.82200446370007,333496.7379247378
1970-01-01 00:00:00.000043983,160535.31490432683,-19250.098713662934,356518.1076152443
1970-01-01 00:00:00.000043984,160344.43794460993,-15561.825336509399,347424.46044509026
1970-01-01 00:00:00.000043985,160153.560984893,-19444.357723862868,346264.19790585025
1970-01-01 00:00:00.000043986,159962.6840251761,-27742.579039175747,340756.7481415559
1970-01-01 00:00:00.000043987,159771.80706545917,-10193.088470770577,335238.11676795455
1970-01-01 00:00:00.000043988,159580.93010574224,-10354.312053964031,334962.66224048025
1970-01-01 00:00:00.000043989,159390.05314602534,-16076.730358884746,326832.3083900086
1970-01-01 00:00:00.000043990,159199.17618630844,-12121.229730466228,342402.09985684464
1970-01-01 00:00:00.000043991,159008.2992265915,-21736.313771499335,338283.2038345142
1970-01-01 00:00:00.000043992,158817.42226687458,-20929.452885833874,354210.8597251542
1970-01-01 00:00:00.000043993,158626.54530715765,-24013.554449273415,347459.2176087125
1970-01-01 00:00:00.000043994,158435.66834744075,-11492.040301953915,337516.24681935797
1970-01-01 00:00:00.000043995,158244.79138772382,-8932.141032614945,338015.65698486136
1970-01-01 00:00:00.000043996,158053.91442800692,-27458.277062542584,330397.87929910247
1970-01-01 00:00:00.000043997,157863.03746829,-22123.19746768365,331092.20552258356
1970-01-01 00:00:00.000043998,157672.16050857308,-7596.097806432507,341661.553265405
1970-01-01 00:00:00.000043999,157481.28354885615,-22476.089176687346,339134.3406790237
1970-01-01 00:00:00.000044000,157290.40658913922,-15819.72752602636,336584.6173396136
1970-01-01 00:00:00.000044001,157099.52962942232,-15403.71386555202,337677.0855863686
1970-01-01 00:00:00.000044002,156908.6526697054,-25840.900144909952,334950.0110301309
1970-01-01 00:00:00.000044003,156717.7757099885,-27321.32689810327,340209.0757045739
1970-01-01 00:00:00.000044004,156526.89875027156,-25771.7057728405,336286.29253204085
1970-01-01 00:00:00.000044005,156336.02179055466,-27161.42396863679,331352.7071382762
1970-01-01 00:00:00.000044006,156145.14483083773,-25183.154465820473,329313.381340575
1970-01-01 00:00:00.000044007,155954.26787112083,-21454.009003003623,329173.3733963295
1970-01-01 00:00:00.000044008,155763.3909114039,-20520.73450690873,339095.2930418301
1970-01-01 00:00:00.000044009,155572.51395168697,-33498.66045265511,321312.451367722
1970-01-01 00:00:00.000044010,155381.63699197007,-34019.183418639564,324905.4061318197
1970-01-01 00:00:00.000044011,155190.76003225314,-17458.014909423175,341452.9407668233
1970-01-01 00:00:00.000044012,154999.88307253623,-28671.58146620962,325775.39485549193
1970-01-01 00:00:00.000044013,154809.0061128193,-22185.506952936437,337409.9735162893
1970-01-01 00:00:00.000044014,154618.1291531024,-14782.667980662734,333236.4943099433
1970-01-01 00:00:00.000044015,154427.25219338547,-21233.758846429308,335984.1364629767
1970-01-01 00:00:00.000044016,154236.37523366854,-22612.91805774702,333295.6069394438
1970-01-01 00:00:00.000044017,154045.49827395164,-25267.81304885745,328164.43503985135
1970-01-01 00:00:00.000044018,153854.6213142347,-17687.61026962573,354100.19034640875
1970-01-01 00:00:00.000044019,153663.7443545178,-18613.742546454287,332635.029862737
1970-01-01 00:00:00.000044020,153472.86739480088,-18458.48859185606,340574.0928345315
1970-01-01 00:00:00.000044021,153281.99043508398,-36651.383730487614,347507.05506444664
1970-01-01 00:00:00.000044022,153091.11347536705,-25911.597622110894,336517.4733960293
1970-01-01 00:00:00.000044023,152900.23651565015,-31387.24879126291,322138.36638424406
1970-01-01 00:00:00.000044024,152709.35955593322,-25046.48583675863,329108.6621614009
1970-01-01 00:00:00.000044025,152518.4825962163,-29312.153052185975,332003.4689710549
1970-01-01 00:00:00.000044026,152327.60563649936,-31326.05680931126,331405.04653874354
1970-01-01 00:00:00.000044027,152136.72867678246,-20253.050536990137,335123.850468052
1970-01-01 00:00:00.000044028,151945.85171706553,-20909.48693202673,333104.4492898986
1970-01-01 00:00:00.000044029,151754.97475734862,-29736.82398331038,330938.49813658535
1970-01-01 00:00:00.000044030,151564.09779763172,-29911.819953020244,327587.0220273179
1970-01-01 00:00:00.000044031,151373.2208379148,-23722.63744259856,330165.68494134257
1970-01-01 00:00:00.000044032,151182.34387819786,-23776.465936178614,329478.48620687396
1970-01-01 00:00:00.000044033,150991.46691848093,-23581.049982311062,334501.54163653037
1970-01-01 00:00:00.000044034,150800.58995876403,-23522.211270615622,340608.812864969
1970-01-01 00:00:00.000044035,150609.71299904713,-23510.017861499433,334607.7862909212
1970-01-01 00:00:00.000044036,150418.8360393302,-41525.056906831865,316693.02150815265
1970-01-01 00:00:00.000044037,150227.95907961327,-32219.85400320925,335899.7810289337
1970-01-01 00:00:00.000044038,150037.08211989637,-40494.84059959313,340320.68221648765
1970-01-01 00:00:00.000044039,149846.20516017944,-28875.083107753664,326870.6473844806
1970-01-01 00:00:00.000044040,149655.32820046254,-25057.12382339912,334508.68586442893
1970-01-01 00:00:00.000044041,149464.4512407456,-33535.37140156653,339731.4666084266
1970-01-01 00:00:00.000044042,149273.5742810287,-33310.20915726523,321841.3801652698
1970-01-01 00:00:00.000044043,149082.69732131177,-46902.01408246516,322852.90385645354
1970-01-01 00:00:00.000044044,148891.82036159484,-24155.565207305088,320940.32120694284
1970-01-01 00:00:00.000044045,148700.94340187794,-33805.02198539109,340484.14318442106
1970-01-01 00:00:00.000044046,148510.06644216104,-17693.79836690659,331641.3090304863
1970-01-01 00:00:00.000044047,148319.1894824441,-35208.66441514952,325853.1062806285
1970-01-01 00:00:00.000044048,148128.31252272718,-33145.593764671175,319492.53847414686
1970-01-01 00:00:00.000044049,147937.43556301025,-22303.54476110028,327385.88327581587
1970-01-01 00:00:00.000044050,147746.55860329335,-21320.236719000448,326492.4497096738
1970-01-01 00:00:00.000044051,147555.68164357645,-33477.43684529555,327346.44502220204
1970-01-01 00:00:00.000044052,147364.80468385952,-20496.08338236579,320102.7354247678
1970-01-01 00:00:00.000044053,147173.9277241426,-32804.54645508351,320835.53000070015
1970-01-01 00:00:00.000044054,146983.0507644257,-29445.985625153055,329002.396083453
1970-01-01 00:00:00.000044055,146792.17380470876,-41832.724291994455,321271.3707934597
1970-01-01 00:00:00.000044056,146601.29684499183,-28544.95476079199,321478.896141977
1970-01-01 00:00:00.000044057,146410.41988527493,-32662.63354915823,317107.9087085954
1970-01-01 00:00:00.000044058,146219.542925558,-26730.64197005346,315332.58293264225
1970-01-01 00:00:00.000044059,146028.6659658411,-19093.781581235147,340294.19669930503
1970-01-01 00:00:00.000044060,145837.78900612416,-25184.95523058565,325868.66985718877
1970-01-01 00:00:00.000044061,145646.91204640726,-40118.57000296118,326815.2782141614
1970-01-01 00:00:00.000044062,145456.03508669033,-20037.903810905183,318702.05424015963
1970-01-01 00:00:00.000044063,145265.15812697343,-31717.896753182275,314477.77724585787
1970-01-01 00:00:00.000044064,145074.2811672565,-40782.45877090821,339129.23407767084
1970-01-01 00:00:00.000044065,144883.40420753957,-23185.878756096954,331446.5767040342
1970-01-01 00:00:00.000044066,144692.52724782264,-38118.132598166325,328029.6952095746
1970-01-01 00:00:00.000044067,144501.65028810574,-29587.764930736656,328467.0468063487
1970-01-01 00:00:00.000044068,144310.77332838884,-28989.12380377088,333189.99755583936
1970-01-01 00:00:00.000044069,144119.89636867194,-27526.40523284312,335972.9080682605
1970-01-01 00:00:00.000044070,143929.019408955,-28386.447122392176,321051.7038950331
1970-01-01 00:00:00.000044071,143738.14244923808,-44388.87133798034,347926.9313286414
1970-01-01 00:00:00.000044072,143547.26548952115,-39281.57428574814,332084.18394594674
1970-01-01 00:00:00.000044073,143356.38852980424,-19746.55934071773,324533.69445640926
1970-01-01 00:00:00.000044074,143165.5115700873,-25349.972845160708,323879.4311838619
1970-01-01 00:00:00.000044075,142974.6346103704,-23034.93594966673,331700.2982739286
1970-01-01 00:00:00.000044076,142783.75765065348,-39058.07992527138,325178.136837564
1970-01-01 00:00:00.000044077,142334.08045121055,-25328.497358758796,318827.6343000797
1970-01-01 00:00:00.000044078,141884.4032517676,-35327.20203807478,308465.34857843915
1970-01-01 00:00:00.000044079,141434.72605232467,-52604.65721566467,315446.7480320792
1970-01-01 00:00:00.000044080,140985.04885288174,-42655.9551735954,324474.53235323436
1970-01-01 00:00:00.000044081,140535.37165343878,-38843.433452721554,335100.29799221293
1970-01-01 00:00:00.000044082,140085.69445399582,-39383.42381296914,321810.1375473554
1970-01-01 00:00:00.000044083,139636.0172545529,-42872.02509798013,319040.2040833322
1970-01-01 00:00:00.000044084,139186.34005510993,-23406.35645811957,313729.2413177736
1970-01-01 00:00:00.000044085,138736.66285566697,-35561.01291415561,324511.6059117879
1970-01-01 00:00:00.000044086,138286.98565622405,-37545.992468237964,315077.529458616
1970-01-01 00:00:00.000044087,137837.30845678112,-49996.934689687456,310392.8145653594
1970-01-01 00:00:00.000044088,137387.63125733816,-42052.725553815224,307814.82597823464
1970-01-01 00:00:00.000044089,136937.9540578952,-46766.11745568011,322248.8352222947
1970-01-01 00:00:00.000044090,136488.27685845227,-52394.238290164765,318354.38629781257
1970-01-01 00:00:00.000044091,136038.59965900934,-30623.968055905847,316234.39738243155
1970-01-01 00:00:00.000044092,135588.92245956638,-37786.06391498391,308677.3451904687
1970-01-01 00:00:00.000044093,135139.24526012343,-51003.49681824499,320352.81280587375
1970-01-01 00:00:00.000044094,134689.5680606805,-47552.89426480799,311952.81796587905
1970-01-01 00:00:00.000044095,134239.89086123754,-48954.72513970153,318295.26864155044
1970-01-01 00:00:00.000044096,133790.21366179458,-57677.42173769657,314471.5805749107
1970-01-01 00:00:00.000044097,133340.53646235165,-53442.078436267584,309619.0948557695
1970-01-01 00:00:00.000044098,132890.85926290872,-38766.25938777686,315859.1841652921
1970-01-01 00:00:00.000044099,132441.18206346576,-46748.6918475854,309493.8729913653
1970-01-01 00:00:00.000044100,131991.5048640228,-51841.03075338864,311851.87885919004
1970-01-01 00:00:00.000044101,131541.82766457988,-40842.42654920104,313830.1007917997
1970-01-01 00:00:00.000044102,131092.15046513695,-51875.72433685099,310774.5689076449
1970-01-01 00:00:00.000044103,130642.47326569396,-37332.91028948557,321186.9613837728
1970-01-01 00:00:00.000044104,130192.79606625102,-52930.378479900035,323632.4954133239
1970-01-01 00:00:00.000044105,129743.11886680809,-51112.634750506266,307678.96326873905
1970-01-01 00:00:00.000044106,129293.44166736514,-38107.09393041776,304135.2443934392
1970-01-01 00:00:00.000044107,128843.76446792218,-39544.89024123524,308387.6842584305
1970-01-01 00:00:00.000044108,128394.08726847924,-57953.113154898754,313390.3086065379
1970-01-01 00:00:00.000044109,127944.41006903631,-46359.75090694066,304789.49185799604
1970-01-01 00:00:00.000044110,127494.73286959337,-60072.23947416342,306451.24589584663
1970-01-01 00:00:00.000044111,127045.05567015041,-60767.256237714435,311639.2239236331
1970-01-01 00:00:00.000044112,126595.37847070747,-51136.121424198245,289865.41366838606
1970-01-01 00:00:00.000044113,126145.70127126452,-67555.49964482794,306775.6146072247
1970-01-01 00:00:00.000044114,125696.02407182156,-68124.15842867823,308943.1554987431
